Time,yaw,pitch,roll,magx,magy,magz,accelx,accely,accelz,gyrox,gyroy,gyroz
0.14597392082214355,-99.268,-1.208,4.031,0.0205,0.2638,0.4141,-0.147,-0.675,-9.746,9.2e-05,0.001218,-0.001098
0.2536158561706543,-99.269,-1.207,4.03,0.0215,0.2614,0.4129,-0.168,-0.699,-9.694,0.000924,0.001601,-1.7e-05
0.3928818702697754,-99.271,-1.207,4.029,0.0204,0.265,0.4088,-0.135,-0.682,-9.686,0.000755,-0.000381,0.000105
0.5874588489532471,-99.269,-1.207,4.029,0.0226,0.2626,0.4116,-0.25,-0.667,-9.71,0.00086,-0.000348,7e-06
0.6965839862823486,-99.27,-1.207,4.028,0.0217,0.2687,0.4141,-0.202,-0.696,-9.729,-0.000543,0.000508,0.000684
0.8309099674224854,-99.269,-1.209,4.03,0.0205,0.2662,0.4127,-0.262,-0.655,-9.72,-0.000597,0.001167,0.000671
1.0222358703613281,-99.269,-1.206,4.028,0.0227,0.2674,0.4141,-0.197,-0.704,-9.711,7e-06,0.00067,-0.000479
1.1476919651031494,-99.267,-1.208,4.026,0.0184,0.2639,0.4166,-0.202,-0.709,-9.69,0.00025,4e-05,-0.000377
1.290259838104248,-99.265,-1.21,4.028,0.0216,0.2651,0.4168,-0.17,-0.693,-9.688,-0.00066,0.000422,-0.001245
1.4829638004302979,-99.268,-1.21,4.03,0.0216,0.2638,0.4141,-0.272,-0.684,-9.72,0.000544,-0.000199,-0.000868
1.638225793838501,-99.267,-1.209,4.03,0.0204,0.2626,0.4102,-0.226,-0.687,-9.708,0.000422,0.000974,9.1e-05
1.7760789394378662,-99.264,-1.209,4.029,0.0216,0.2662,0.4141,-0.177,-0.716,-9.716,-0.000792,0.00033,-0.000478
1.9213759899139404,-99.261,-1.208,4.031,0.0195,0.2711,0.4113,-0.204,-0.693,-9.696,-0.000484,0.002011,1.6e-05
2.126013994216919,-99.262,-1.209,4.03,0.0206,0.2675,0.4167,-0.239,-0.666,-9.708,0.000902,-0.00021,-0.000732
2.272840976715088,-99.261,-1.208,4.03,0.0205,0.2651,0.4154,-0.272,-0.656,-9.711,0.000189,-0.000757,0.000159
2.4147789478302,-99.262,-1.207,4.032,0.0194,0.2663,0.4114,-0.224,-0.695,-9.697,-0.000758,0.000145,0.000681
2.523463010787964,-99.261,-1.205,4.031,0.0226,0.2638,0.4129,-0.253,-0.659,-9.67,0.000361,-5e-05,0.000388
2.666055917739868,-99.263,-1.209,4.03,0.0194,0.2651,0.414,-0.243,-0.676,-9.69,0.000759,0.000472,0.001099
2.8562519550323486,-99.264,-1.208,4.028,0.0216,0.2663,0.4167,-0.2,-0.693,-9.698,-0.00071,0.000385,-0.000882
2.990220785140991,-99.262,-1.211,4.03,0.0205,0.2615,0.4154,-0.16,-0.674,-9.732,-0.000238,0.000494,7.7e-05
3.13777494430542,-99.265,-1.21,4.031,0.0184,0.2687,0.4139,-0.21,-0.657,-9.681,-0.000513,0.000782,-0.000887
3.2779829502105713,-99.262,-1.211,4.031,0.0205,0.2639,0.4167,-0.246,-0.651,-9.666,-0.001136,-0.000466,0.000629
3.4237899780273438,-99.262,-1.209,4.031,0.0205,0.2674,0.4114,-0.213,-0.676,-9.722,0.000451,0.000443,0.000438
3.527796983718872,-99.259,-1.207,4.031,0.0216,0.2639,0.4194,-0.262,-0.671,-9.681,-0.000233,-0.000545,0.000706
3.6763839721679688,-99.256,-1.209,4.033,0.0214,0.2626,0.4063,-0.243,-0.694,-9.718,-0.000157,-0.000464,0.000695
3.810818910598755,-99.255,-1.209,4.034,0.0194,0.265,0.4087,-0.263,-0.656,-9.74,0.000246,-8.2e-05,7.6e-05
3.9174787998199463,-99.258,-1.209,4.032,0.0204,0.2614,0.4141,-0.21,-0.69,-9.707,5e-05,-0.000151,0.000113
4.10718297958374,-99.257,-1.21,4.031,0.0194,0.2651,0.4127,-0.171,-0.692,-9.676,0.000126,0.0012,0.000164
4.242729902267456,-99.258,-1.208,4.03,0.0205,0.265,0.4128,-0.157,-0.7,-9.679,0.001297,-0.001418,-0.000963
4.350984811782837,-99.257,-1.208,4.031,0.0215,0.2638,0.4128,-0.206,-0.718,-9.699,-0.000507,0.000175,-0.001131
4.459235906600952,-99.255,-1.207,4.029,0.0194,0.2663,0.4127,-0.224,-0.691,-9.701,-0.000619,-0.00173,0.000261
4.568781852722168,-99.256,-1.207,4.028,0.0217,0.2675,0.418,-0.249,-0.649,-9.711,-0.00064,-0.001238,0.000505
4.7061607837677,-99.251,-1.205,4.027,0.0237,0.265,0.4103,-0.221,-0.679,-9.698,0.000785,0.000444,6.8e-05
4.858625888824463,-99.251,-1.206,4.027,0.0215,0.2614,0.4155,-0.2,-0.697,-9.658,-0.000173,-0.000877,0.000289
4.973455905914307,-99.253,-1.207,4.028,0.0238,0.2674,0.4155,-0.235,-0.691,-9.694,0.000244,0.000206,0.000455
5.099071979522705,-99.252,-1.207,4.03,0.0216,0.2662,0.4141,-0.2,-0.654,-9.725,-5.5e-05,-0.000234,-0.000234
5.339005947113037,-99.251,-1.205,4.027,0.0195,0.2651,0.4166,-0.254,-0.689,-9.708,-0.000758,0.000185,0.000196
5.521730899810791,-99.244,-1.202,4.031,0.0205,0.2686,0.4114,-0.193,-0.689,-9.708,0.000572,0.000987,-0.000961
5.682039976119995,-99.241,-1.199,4.031,0.0205,0.265,0.4101,-0.175,-0.69,-9.692,0.000766,0.000268,0.001039
5.845618963241577,-99.239,-1.201,4.032,0.0217,0.2675,0.4154,-0.222,-0.654,-9.719,0.000596,0.00011,1.1e-05
5.998178958892822,-99.242,-1.204,4.035,0.0227,0.265,0.4142,-0.275,-0.651,-9.685,-0.000958,-0.000296,-0.000636
6.1059088706970215,-99.241,-1.204,4.035,0.0194,0.2615,0.418,-0.196,-0.666,-9.704,0.000645,0.000762,-0.000396
6.251897811889648,-99.241,-1.204,4.037,0.0216,0.2651,0.4154,-0.247,-0.669,-9.711,0.000689,-0.000884,-0.000242
6.430569887161255,-99.238,-1.201,4.034,0.0205,0.2638,0.4115,-0.142,-0.706,-9.718,-0.000642,-0.001292,2e-05
6.560546875,-99.24,-1.201,4.034,0.0184,0.2651,0.4153,-0.176,-0.691,-9.686,0.000404,-0.0001,0.000379
6.669933795928955,-99.245,-1.2,4.035,0.0205,0.2663,0.4141,-0.202,-0.697,-9.66,0.000318,0.00037,-8.6e-05
6.776753902435303,-99.248,-1.2,4.035,0.0216,0.2662,0.4141,-0.271,-0.664,-9.693,0.000799,-0.000898,0.000105
6.887786865234375,-99.252,-1.203,4.036,0.0205,0.2615,0.4154,-0.281,-0.669,-9.673,0.001478,-0.000274,-5.9e-05
7.030642986297607,-99.247,-1.205,4.034,0.0204,0.2638,0.4115,-0.22,-0.693,-9.701,-0.000914,0.00076,0.001259
7.193108797073364,-99.246,-1.206,4.035,0.0184,0.2675,0.4152,-0.192,-0.701,-9.676,0.000279,0.000775,0.001334
7.341209888458252,-99.244,-1.206,4.033,0.0195,0.2651,0.4153,-0.168,-0.703,-9.724,-0.000351,0.00016,0.000545
7.494696855545044,-99.242,-1.207,4.034,0.0205,0.2639,0.4141,-0.175,-0.677,-9.664,0.000848,-0.000148,0.00146
7.597524881362915,-99.24,-1.208,4.033,0.0226,0.2626,0.4155,-0.182,-0.697,-9.697,0.001178,0.00067,1.4e-05
7.707037925720215,-99.24,-1.21,4.032,0.0248,0.2662,0.4156,-0.141,-0.703,-9.72,-3e-06,-0.000652,0.000554
7.8418779373168945,-99.24,-1.208,4.031,0.0215,0.2662,0.4088,-0.144,-0.695,-9.699,0.000839,-0.001351,7.5e-05
7.979890823364258,-99.239,-1.209,4.032,0.0205,0.2639,0.4141,-0.159,-0.694,-9.692,0.000429,0.00096,9.1e-05
8.087607860565186,-99.237,-1.207,4.035,0.0215,0.2626,0.4115,-0.175,-0.701,-9.693,0.000218,-0.000346,-0.000224
8.278158903121948,-99.238,-1.204,4.036,0.0205,0.265,0.4128,-0.248,-0.661,-9.71,-0.0014,0.000284,0.000166
8.47003984451294,-99.236,-1.203,4.032,0.0206,0.2675,0.4167,-0.206,-0.712,-9.703,-0.001258,0.000275,-8.2e-05
8.667577981948853,-99.23,-1.204,4.033,0.0195,0.2639,0.4167,-0.211,-0.682,-9.713,0.000937,-0.000237,-0.001251
8.807651996612549,-99.228,-1.203,4.034,0.0217,0.2699,0.414,-0.251,-0.676,-9.678,-0.000519,4.2e-05,2.8e-05
8.911572933197021,-99.231,-1.203,4.033,0.0238,0.2674,0.4142,-0.19,-0.701,-9.7,0.000613,0.000409,-0.0009
9.022825002670288,-99.23,-1.202,4.034,0.0205,0.2638,0.4115,-0.177,-0.655,-9.708,-0.000575,0.000306,0.00088
9.18238377571106,-99.229,-1.202,4.034,0.0205,0.2638,0.4115,-0.249,-0.647,-9.706,0.000343,0.000734,0.000296
9.321488857269287,-99.229,-1.203,4.033,0.0248,0.2638,0.413,-0.24,-0.692,-9.712,-0.001042,-0.00032,-0.00092
9.4322350025177,-99.229,-1.2,4.036,0.0216,0.265,0.4141,-0.225,-0.666,-9.723,0.000366,0.001717,-0.000451
9.577565908432007,-99.222,-1.199,4.037,0.0194,0.2663,0.4114,-0.256,-0.656,-9.702,0.001131,-0.000475,-0.000537
9.685740947723389,-99.224,-1.198,4.036,0.0205,0.2627,0.4154,-0.218,-0.66,-9.69,-0.000497,3.7e-05,-0.000659
9.81371283531189,-99.224,-1.198,4.034,0.0215,0.2614,0.4142,-0.193,-0.683,-9.665,0.000396,-0.000806,-0.001107
